Trip_ID,Start_Location,Destination,Country,Start_Date,End_Date,Duration_Days,Accommodation_Type,Accommodation_Cost,Transport_Type,Transport_Cost,Food_Cost,Activity_Cost,Base_Currency,User_Selected_Currency,Currency_Rate,Total_Expense,Distance_km,Train_Class
1,Delhi,Singapore,Singapore,2024-08-09,2024-08-21,12,Airbnb,840,Car,512.7,222.0,999.0,USD,USD,1.0,2573.7,4157,
2,Bengaluru,Mumbai,India,2024-02-17,2024-02-19,2,Hotel 3-star,24,Car,67.6,24.0,108.0,USD,EUR,0.92,205.71,845,
3,Chennai,Paris,France,2024-05-11,2024-05-17,6,Airbnb,420,Car,910.75,102.0,459.0,USD,JPY,153.0,289437.75,8036,
4,Chennai,London,UK,2024-06-22,2024-07-03,11,Hotel 5-star,440,Bus,15.51,209.0,940.5,USD,JPY,153.0,245566.53,8211,
5,Chennai,Mumbai,India,2024-01-11,2024-01-18,7,Hostel,49,Train,,84.0,378.0,USD,JPY,153.0,,1033,Sha_EC
6,Kolkata,New York,USA,2024-03-31,2024-04-01,1,Hotel 5-star,40,Flight,692.72,10.5,47.25,USD,EUR,0.92,727.23,12746,
7,Chennai,Singapore,Singapore,2024-04-24,2024-05-02,8,Hotel 3-star,96,Bus,59.85,148.0,666.0,USD,EUR,0.92,892.26,2902,
8,Mumbai,New York,USA,2024-07-07,2024-07-12,5,Hotel 5-star,200,Train,,52.5,236.25,USD,EUR,0.92,,12538,Sha_CC
9,Surat,Mumbai,India,2024-03-29,2024-04-05,7,Hotel 3-star,84,Train,0.96,84.0,378.0,USD,EUR,0.92,503.2,233,Ord_SL
10,Pune,Singapore,Singapore,2024-01-27,2024-02-08,12,Hostel,84,Flight,1023.08,222.0,999.0,USD,GBP,0.79,1839.18,3784,
11,Ahmedabad,Dubai,UAE,2024-03-23,2024-03-31,8,Hotel 4-star,200,Bus,5.31,68.0,306.0,USD,AED,3.67,2126.07,1771,
12,Delhi,Bengaluru,India,2024-08-20,2024-08-26,6,Airbnb,420,Car,140.0,72.0,324.0,USD,USD,1.0,956.0,1750,
13,Mumbai,Bengaluru,India,2024-07-17,2024-07-23,6,Hotel 4-star,150,Bike,28.97,72.0,324.0,USD,GBP,0.79,454.23,845,
14,Jaipur,Singapore,Singapore,2024-08-01,2024-08-08,7,Hotel 3-star,84,Flight,403.04,129.5,582.75,USD,JPY,153.0,183491.37,4126,
15,Hyderabad,London,UK,2024-01-03,2024-01-05,2,Hotel 3-star,24,Bike,419.19,38.0,171.0,USD,INR,83.0,54131.77,7722,
16,Surat,Sydney,Australia,2024-01-12,2024-01-24,12,Hotel 4-star,300,Flight,919.63,180.0,810.0,USD,GBP,0.79,1745.61,10296,
17,Delhi,Berlin,Germany,2024-05-12,2024-05-16,4,Hotel 3-star,48,Car,672.7,70.0,315.0,USD,EUR,0.92,1017.24,5766,
18,Chennai,Dubai,UAE,2024-05-04,2024-05-13,9,Hostel,63,Flight,826.8,76.5,344.25,USD,GBP,0.79,1035.33,2944,
19,Ahmedabad,Mumbai,India,2024-04-01,2024-04-07,6,Hostel,42,Train,3.49,72.0,324.0,USD,USD,1.0,441.49,440,GR_CC
20,Hyderabad,New York,USA,2024-05-10,2024-05-12,2,Hotel 4-star,50,Bus,30.76,21.0,94.5,USD,INR,83.0,16289.58,12958,
21,Surat,Sydney,Australia,2024-03-23,2024-03-27,4,Hotel 3-star,48,Bus,12.95,60.0,270.0,USD,JPY,153.0,59815.35,10296,
22,Chennai,Berlin,Germany,2024-04-27,2024-05-01,4,Hotel 5-star,160,Car,851.55,70.0,315.0,USD,AED,3.67,5125.34,7299,
23,Hyderabad,Berlin,Germany,2024-07-28,2024-08-07,10,Hotel 5-star,400,Train,,175.0,787.5,USD,USD,1.0,,6805,Yuva_18_35
24,Jaipur,Singapore,Singapore,2024-08-04,2024-08-05,1,Hostel,7,Bike,218.09,18.5,83.25,USD,USD,1.0,326.84,4126,
25,Kolkata,Berlin,Germany,2024-01-06,2024-01-17,11,Airbnb,770,Car,820.28,192.5,866.25,USD,JPY,153.0,405301.59,7031,
26,Jaipur,Dubai,UAE,2024-08-27,2024-08-31,4,Airbnb,280,Train,22.19,34.0,153.0,USD,INR,83.0,40602.77,2056,Exp_FC
27,Ahmedabad,Dubai,UAE,2024-04-08,2024-04-11,3,Hotel 4-star,75,Bike,43.01,25.5,114.75,USD,JPY,153.0,39513.78,1771,
28,Kolkata,Berlin,Germany,2024-05-17,2024-05-24,7,Hostel,49,Flight,655.14,122.5,551.25,USD,JPY,153.0,210817.17,7031,
29,Ahmedabad,Dubai,UAE,2024-06-10,2024-06-16,6,Hostel,42,Flight,127.02,51.0,229.5,USD,USD,1.0,449.52,1771,
30,Mumbai,London,UK,2024-06-13,2024-06-18,5,Hotel 4-star,125,Bike,390.42,95.0,427.5,USD,JPY,153.0,158801.76,7192,
31,Pune,Dubai,UAE,2024-05-09,2024-05-14,5,Hotel 4-star,125,Flight,772.92,42.5,191.25,USD,GBP,0.79,894.02,2054,
32,Hyderabad,Dubai,UAE,2024-03-29,2024-04-02,4,Hotel 5-star,160,Flight,157.63,34.0,153.0,USD,EUR,0.92,464.26,2553,
33,Jaipur,Bengaluru,India,2024-04-08,2024-04-09,1,Hostel,7,Car,124.96,12.0,54.0,USD,INR,83.0,16430.68,1562,
34,Hyderabad,Paris,France,2024-02-08,2024-02-17,9,Hostel,63,Train,,153.0,688.5,USD,USD,1.0,,7555,Yuva_Other
35,Ahmedabad,Mumbai,India,2024-05-29,2024-06-04,6,Hostel,42,Flight,448.72,72.0,324.0,USD,AED,3.67,3254.26,440,
36,Ahmedabad,Sydney,Australia,2024-01-31,2024-02-08,8,Airbnb,560,Bike,447.3,120.0,540.0,USD,USD,1.0,1667.3,10437,
37,Jaipur,Paris,France,2024-07-16,2024-07-23,7,Hotel 5-star,280,Bike,321.15,119.0,535.5,USD,EUR,0.92,1155.2,6612,
38,Mumbai,Tokyo,Japan,2024-06-01,2024-06-06,5,Hotel 4-star,125,Car,627.2,70.0,315.0,USD,INR,83.0,94387.6,6720,
39,Surat,Singapore,Singapore,2024-07-24,2024-07-31,7,Hotel 4-star,175,Car,495.43,129.5,582.75,USD,USD,1.0,1382.68,4017,
40,Surat,Bengaluru,India,2024-06-13,2024-06-22,9,Hostel,63,Flight,962.9,108.0,486.0,USD,USD,1.0,1619.9,1043,
41,Kolkata,Tokyo,Japan,2024-08-11,2024-08-16,5,Hostel,35,Flight,1066.05,70.0,315.0,USD,GBP,0.79,1173.98,5130,
42,Kolkata,Sydney,Australia,2024-01-02,2024-01-03,1,Hotel 4-star,25,Bus,14.66,15.0,67.5,USD,AED,3.67,448.33,9138,
43,Hyderabad,Paris,France,2024-02-26,2024-02-28,2,Hotel 4-star,50,Bike,366.96,34.0,153.0,USD,INR,83.0,50128.68,7555,
44,Jaipur,London,UK,2024-04-19,2024-04-28,9,Hotel 4-star,225,Bike,366.43,171.0,769.5,USD,INR,83.0,127150.19,6750,
45,Delhi,Tokyo,Japan,2024-06-27,2024-06-29,2,Hotel 5-star,80,Train,,28.0,126.0,USD,GBP,0.79,,5839,JS_2S
46,Delhi,Tokyo,Japan,2024-08-05,2024-08-06,1,Hotel 5-star,40,Bus,52.68,14.0,63.0,USD,GBP,0.79,134.05,5839,
47,Chennai,Paris,France,2024-01-24,2024-01-30,6,Hotel 3-star,72,Flight,315.77,102.0,459.0,USD,USD,1.0,948.77,8036,
48,Kolkata,Tokyo,Japan,2024-08-17,2024-08-23,6,Airbnb,420,Train,41.51,84.0,378.0,USD,EUR,0.92,849.63,5130,Ord_FC
49,Jaipur,Sydney,Australia,2024-05-01,2024-05-06,5,Hotel 4-star,125,Train,25.55,75.0,337.5,USD,USD,1.0,563.05,10428,AC_CC
50,Kolkata,Berlin,Germany,2024-07-15,2024-07-21,6,Hotel 3-star,72,Train,,105.0,472.5,USD,INR,83.0,,7031,Raj_3A
51,Bengaluru,Berlin,Germany,2024-07-07,2024-07-14,7,Hotel 3-star,84,Train,80.87,122.5,551.25,USD,USD,1.0,838.62,7131,AC_1A
52,Jaipur,Mumbai,India,2024-01-30,2024-02-07,8,Hotel 3-star,96,Flight,785.19,96.0,432.0,USD,INR,83.0,116962.77,921,
53,Pune,Singapore,Singapore,2024-05-24,2024-05-25,1,Hotel 5-star,40,Train,25.37,18.5,83.25,USD,INR,83.0,13870.96,3784,AC_3A
54,Hyderabad,Tokyo,Japan,2024-02-24,2024-02-28,4,Hotel 4-star,100,Flight,905.72,56.0,252.0,USD,INR,83.0,109038.76,6311,
55,Surat,Paris,France,2024-04-15,2024-04-22,7,Hotel 4-star,175,Bike,332.23,119.0,535.5,USD,EUR,0.92,1068.79,6840,
56,Pune,New York,USA,2024-05-03,2024-05-14,11,Hotel 4-star,275,Flight,1196.71,115.5,519.75,USD,JPY,153.0,322364.88,12639,
57,Delhi,New York,USA,2024-03-25,2024-04-03,9,Airbnb,630,Train,7.34,94.5,425.25,USD,USD,1.0,1157.09,11742,Exp_2S
58,Ahmedabad,New York,USA,2024-07-20,2024-07-25,5,Airbnb,350,Bus,8.91,52.5,236.25,USD,AED,3.67,2376.91,12131,
59,Mumbai,London,UK,2024-05-03,2024-05-07,4,Hostel,28,Car,910.99,76.0,342.0,USD,AED,3.67,4980.15,7192,
60,Ahmedabad,Mumbai,India,2024-06-15,2024-06-27,12,Airbnb,840,Car,35.2,144.0,648.0,USD,JPY,153.0,255081.6,440,
61,Chennai,Bengaluru,India,2024-09-04,2024-09-16,12,Hostel,84,Flight,792.94,144.0,648.0,USD,GBP,0.79,1318.46,290,
62,Chennai,Sydney,Australia,2024-01-10,2024-01-17,7,Hotel 4-star,175,Bike,391.11,105.0,472.5,USD,USD,1.0,1143.61,9126,
63,Jaipur,New York,USA,2024-07-10,2024-07-14,4,Hostel,28,Bus,33.73,42.0,189.0,USD,JPY,153.0,44787.69,11875,
64,Surat,New York,USA,2024-06-24,2024-06-26,2,Hotel 3-star,24,Bike,369.81,21.0,94.5,USD,INR,83.0,42272.73,12327,
65,Kolkata,Dubai,UAE,2024-05-22,2024-06-01,10,Hostel,70,Bike,81.82,85.0,382.5,USD,JPY,153.0,94755.96,3369,
66,Ahmedabad,London,UK,2024-07-20,2024-07-24,4,Hotel 3-star,48,Train,,76.0,342.0,USD,USD,1.0,,6844,JS_CC
67,Jaipur,New York,USA,2024-03-10,2024-03-16,6,Airbnb,420,Train,,63.0,283.5,USD,JPY,153.0,,11875,Raj_2A
68,Delhi,Dubai,UAE,2024-03-10,2024-03-16,6,Hotel 5-star,240,Train,56.6,51.0,229.5,USD,JPY,153.0,88296.3,2195,Raj_1A
69,Surat,Dubai,UAE,2024-03-10,2024-03-20,10,Hotel 4-star,250,Flight,863.12,85.0,382.5,USD,INR,83.0,131191.46,1848,
70,Surat,Mumbai,India,2024-08-23,2024-08-24,1,Hotel 5-star,40,Bus,16.34,12.0,54.0,USD,AED,3.67,448.99,233,
71,Kolkata,Paris,France,2024-02-12,2024-02-21,9,Hostel,63,Flight,1102.22,153.0,688.5,USD,INR,83.0,166557.76,7856,
72,Jaipur,London,UK,2024-04-09,2024-04-12,3,Hotel 3-star,36,Flight,1109.69,57.0,256.5,USD,EUR,0.92,1342.45,6750,
73,Hyderabad,Berlin,Germany,2024-04-29,2024-05-07,8,Airbnb,560,Flight,490.19,140.0,630.0,USD,AED,3.67,6680.1,6805,
74,Hyderabad,Berlin,Germany,2024-03-27,2024-03-30,3,Airbnb,210,Bike,340.25,52.5,236.25,USD,INR,83.0,69637.0,6805,
75,Pune,Bengaluru,India,2024-06-13,2024-06-25,12,Hotel 4-star,300,Train,9.34,144.0,648.0,USD,AED,3.67,4041.92,735,Ord_FC
76,Delhi,New York,USA,2024-04-15,2024-04-23,8,Hotel 3-star,96,Bus,17.01,84.0,378.0,USD,GBP,0.79,454.26,11742,
77,Mumbai,Dubai,UAE,2024-04-05,2024-04-07,2,Hotel 5-star,80,Bus,38.33,17.0,76.5,USD,JPY,153.0,32409.99,1935,
78,Jaipur,Berlin,Germany,2024-05-14,2024-05-20,6,Hotel 5-star,240,Flight,370.49,105.0,472.5,USD,EUR,0.92,1092.95,5822,
79,Ahmedabad,Paris,France,2024-04-04,2024-04-16,12,Hostel,84,Bus,12.97,204.0,918.0,USD,INR,83.0,101174.51,6676,
80,Pune,Singapore,Singapore,2024-05-20,2024-06-01,12,Hotel 3-star,144,Train,38.47,222.0,999.0,USD,AED,3.67,5150.73,3784,AC_2A
81,Jaipur,Tokyo,Japan,2024-08-10,2024-08-19,9,Hotel 5-star,360,Flight,1168.72,126.0,567.0,USD,INR,83.0,184402.76,6042,
82,Delhi,Singapore,Singapore,2024-07-25,2024-08-03,9,Hostel,63,Bus,48.79,166.5,749.25,USD,USD,1.0,1027.54,4157,
83,Jaipur,Mumbai,India,2024-01-17,2024-01-27,10,Hostel,70,Bus,20.5,120.0,540.0,USD,AED,3.67,2754.34,921,
84,Bengaluru,Dubai,UAE,2024-01-12,2024-01-20,8,Hotel 4-star,200,Flight,952.35,68.0,306.0,USD,INR,83.0,126687.05,2705,
85,Pune,Paris,France,2024-01-17,2024-01-28,11,Hostel,77,Flight,684.09,187.0,841.5,USD,JPY,153.0,273807.27,7125,
86,Chennai,Tokyo,Japan,2024-02-06,2024-02-14,8,Hotel 3-star,96,Bike,256.44,112.0,504.0,USD,GBP,0.79,765.07,6411,
87,Hyderabad,Tokyo,Japan,2024-07-17,2024-07-22,5,Hotel 5-star,200,Train,,70.0,315.0,USD,JPY,153.0,,6311,Sha_EC
